Name,Tuples,Data,Data-Original,display,difference,unique value,unique falsify
hp,"(0, 0, 1, 0, 2)",836.5,836.5,837.0,Y,"N:836.51 (0, 0, 0, 2, 1)",Y
hp,"(0, 0, 3, 0, 2)",1314.5,1314.5,1315.0,Y,"N:1314.51 (0, 0, 2, 2, 1)",Y
hp,"(0, 0, 0, 0, 6)",1792.5,1792.5,1793.0,Y,Y,Y
hp_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
attack_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
defence_percent,"(0, 0, 0, 1, 1)",0.1385,0.1385,0.139,Y,Y,Y
defence_percent,"(0, 0, 3, 1, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 1, 2, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 2, 0, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 2, 0, 1, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 5, 0, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 2, 3, 1, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 3, 1, 2, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 3, 2, 0, 1)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 4, 0, 1, 1)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
charge_efficiency,"(0, 5, 0, 0, 0)",0.2265,0.2265,0.227,Y,"N:0.2267 (0, 0, 1, 3, 0)",Y
charge_efficiency,"(0, 1, 4, 0, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 2, 2, 1, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 3, 0, 2, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 3, 1, 0, 1)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
critical,"(0, 1, 3, 0, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 2, 1, 1, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 3, 0, 0, 1)",0.1205,0.1205,0.121,Y,Y,Y
critical_hurt,"(0, 1, 1, 1, 0)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 0, 3, 0, 0)",Y
critical_hurt,"(0, 2, 0, 0, 1)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 0, 3, 0, 0)",Y
