Name,Tuples,Data,Data-Original,display,difference,unique value,unique falsify
hp,"(0, 0, 0, 0, 6)",1792.5,1792.5,1793.0,Y,Y,Y
hp_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
hp_percent,"(0, 0, 0, 5, 0)",0.2625,0.2625,0.263,Y,Y,"N:0.2622 (0, 3, 3, 0, 0)"
attack_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
attack_percent,"(0, 0, 0, 5, 0)",0.2625,0.2625,0.263,Y,Y,"N:0.2622 (0, 3, 3, 0, 0)"
defence_percent,"(0, 0, 0, 1, 1)",0.1385,0.1385,0.139,Y,Y,Y
defence_percent,"(0, 0, 3, 1, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 1, 2, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 2, 0, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 2, 0, 1, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 0, 0, 0, 5)",0.3645,0.3645,0.365,Y,Y,"N:0.3644 (0, 0, 4, 2, 0)"
charge_efficiency,"(0, 0, 2, 3, 0)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 0, 4, 0)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 1, 2, 1)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 0, 3, 1, 1)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 2, 0, 2)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 2, 0, 1, 2)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 0, 0, 3, 2)",0.3045,0.30449998,0.305,Y*,Y,"N:0.3043 (0, 3, 1, 2, 0)"
charge_efficiency,"(0, 0, 1, 1, 3)",0.3045,0.3045,0.305,Y,Y,"N:0.3043 (0, 3, 1, 2, 0)"
charge_efficiency,"(0, 1, 0, 0, 4)",0.3045,0.3045,0.305,Y,Y,"N:0.3043 (0, 3, 1, 2, 0)"
critical,"(0, 1, 3, 0, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 2, 1, 1, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 3, 0, 0, 1)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 0, 0, 0, 5)",0.1945,0.1945,0.195,Y,Y,"N:0.1944 (0, 0, 4, 2, 0)"
critical_hurt,"(0, 0, 3, 1, 0)",0.2565,0.2565,0.257,Y,Y,"N:0.2564 (0, 1, 1, 2, 0)"
critical_hurt,"(0, 1, 2, 0, 1)",0.2565,0.2565,0.257,Y,Y,"N:0.2564 (0, 1, 1, 2, 0)"
critical_hurt,"(0, 0, 4, 0, 1)",0.3265,0.3265,0.327,Y,Y,"N:0.3263 (0, 1, 1, 3, 0)"
