Name,Tuples,Data,Data-Original,RoundNearestTiesUp
hp,"(0, 1, 0, 0, 0)",209.13,209.13,209.0
hp,"(0, 0, 1, 0, 0)",239.0,239.0,239.0
hp,"(0, 0, 0, 1, 0)",268.88,268.88,269.0
hp,"(0, 0, 0, 0, 1)",298.75,298.75,299.0
hp,"(0, 2, 0, 0, 0)",418.26,418.26,418.0
hp,"(0, 1, 1, 0, 0)",448.13,448.13,448.0
hp,"(0, 0, 2, 0, 0)",478.0,478.0,478.0
hp,"(0, 1, 0, 1, 0)",478.01,478.01,478.0
hp,"(0, 0, 1, 1, 0)",507.88,507.88,508.0
hp,"(0, 1, 0, 0, 1)",507.88,507.88,508.0
hp,"(0, 0, 1, 0, 1)",537.75,537.75,538.0
hp,"(0, 0, 0, 2, 0)",537.76,537.76,538.0
hp,"(0, 0, 0, 1, 1)",567.63,567.63,568.0
hp,"(0, 0, 0, 0, 2)",597.5,597.5,598.0
hp,"(0, 3, 0, 0, 0)",627.39,627.39,627.0
hp,"(0, 2, 1, 0, 0)",657.26,657.26,657.0
hp,"(0, 1, 2, 0, 0)",687.13,687.13,687.0
hp,"(0, 2, 0, 1, 0)",687.14,687.14,687.0
hp,"(0, 0, 3, 0, 0)",717.0,717.0,717.0
hp,"(0, 1, 1, 1, 0)",717.01,717.01,717.0
hp,"(0, 2, 0, 0, 1)",717.01,717.01,717.0
hp,"(0, 0, 2, 1, 0)",746.88,746.88,747.0
hp,"(0, 1, 1, 0, 1)",746.88,746.88,747.0
hp,"(0, 1, 0, 2, 0)",746.89,746.89,747.0
hp,"(0, 0, 2, 0, 1)",776.75,776.75,777.0
hp,"(0, 0, 1, 2, 0)",776.76,776.76,777.0
hp,"(0, 1, 0, 1, 1)",776.76,776.76,777.0
hp,"(0, 0, 1, 1, 1)",806.63,806.63,807.0
hp,"(0, 1, 0, 0, 2)",806.63,806.63,807.0
hp,"(0, 0, 0, 3, 0)",806.64,806.64,807.0
hp,"(0, 0, 1, 0, 2)",836.5,836.5,837.0
hp,"(0, 0, 0, 2, 1)",836.51,836.51,837.0
hp,"(0, 4, 0, 0, 0)",836.52,836.52,837.0
hp,"(0, 0, 0, 1, 2)",866.38,866.38,866.0
hp,"(0, 3, 1, 0, 0)",866.39,866.39,866.0
hp,"(0, 0, 0, 0, 3)",896.25,896.25,896.0
hp,"(0, 2, 2, 0, 0)",896.26,896.26,896.0
hp,"(0, 3, 0, 1, 0)",896.27,896.27,896.0
hp,"(0, 1, 3, 0, 0)",926.13,926.13,926.0
hp,"(0, 2, 1, 1, 0)",926.14,926.14,926.0
hp,"(0, 3, 0, 0, 1)",926.14,926.14,926.0
hp,"(0, 0, 4, 0, 0)",956.0,956.0,956.0
hp,"(0, 1, 2, 1, 0)",956.01,956.01,956.0
hp,"(0, 2, 1, 0, 1)",956.01,956.01,956.0
hp,"(0, 2, 0, 2, 0)",956.02,956.02,956.0
hp,"(0, 0, 3, 1, 0)",985.88,985.88,986.0
