Name,Tuples,Data,Data-Original,display,difference,unique value,unique falsify
hp,"(0, 0, 0, 0, 2)",597.5,597.5,598.0,N,Y,Y
hp,"(0, 0, 1, 0, 2)",836.5,836.5,837.0,Y,"N:836.51 (0, 0, 0, 2, 1)",Y
hp,"(0, 0, 2, 0, 2)",1075.5,1075.5,1076.0,N,"N:1075.51 (0, 0, 1, 2, 1)",Y
hp,"(0, 0, 3, 0, 2)",1314.5,1314.5,1315.0,Y,"N:1314.51 (0, 0, 2, 2, 1)",Y
hp,"(0, 0, 4, 0, 2)",1553.5,1553.5,1554.0,N,"N:1553.51 (0, 0, 3, 2, 1)",Y
hp,"(0, 0, 0, 0, 6)",1792.5,1792.5,1793.0,Y,Y,Y
hp_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
hp_percent,"(0, 0, 2, 0, 1)",0.1515,0.1515,0.152,N,"N:0.1516 (0, 0, 1, 2, 0)",Y
hp_percent,"(0, 0, 0, 3, 0)",0.1575,0.1575,0.158,N,Y,"N:0.1574 (0, 0, 1, 1, 1)"
hp_percent,"(0, 1, 2, 1, 0)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 2, 0, 2, 0)","N:0.1864 (0, 0, 4, 0, 0)"
hp_percent,"(0, 2, 1, 0, 1)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 2, 0, 2, 0)","N:0.1864 (0, 0, 4, 0, 0)"
hp_percent,"(0, 3, 1, 1, 0)",0.2215,0.2215,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
hp_percent,"(0, 0, 1, 0, 3)",0.2215,0.2215,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
hp_percent,"(0, 4, 0, 0, 1)",0.2215,0.22150001,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
hp_percent,"(0, 0, 2, 2, 1)",0.2565,0.25649998,0.257,Y*,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
hp_percent,"(0, 5, 0, 1, 0)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
hp_percent,"(0, 1, 1, 1, 2)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
hp_percent,"(0, 2, 0, 0, 3)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
hp_percent,"(0, 0, 0, 5, 0)",0.2625,0.2625,0.263,Y,Y,"N:0.2622 (0, 3, 3, 0, 0)"
hp_percent,"(0, 0, 5, 1, 0)",0.2855,0.2855,0.286,N,"N:0.2856 (0, 1, 3, 2, 0)",Y
hp_percent,"(0, 1, 4, 0, 1)",0.2855,0.2855,0.286,N,"N:0.2856 (0, 1, 3, 2, 0)",Y
hp_percent,"(0, 2, 1, 2, 1)",0.2915,0.29149997,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
hp_percent,"(0, 1, 2, 3, 0)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
hp_percent,"(0, 3, 0, 1, 2)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
hp_percent,"(0, 0, 0, 0, 5)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
hp_percent,"(0, 0, 1, 2, 3)",0.3265,0.3265,0.327,Y,"N:0.3266 (0, 0, 0, 4, 2)","N:0.3264 (0, 0, 2, 0, 4)"
hp_percent,"(0, 1, 0, 1, 4)",0.3265,0.3265,0.327,Y,"N:0.3266 (0, 0, 0, 4, 2)","N:0.3264 (0, 0, 2, 0, 4)"
attack,"(0, 4, 0, 2, 0)",89.5,89.5,90.0,N,Y,"N:89.47 (0, 0, 2, 0, 3)"
attack_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053,Y,Y,Y
